window_id,sub_ID,anchor_date,obs_start,obs_end,target_start,target_end,performance_mean_30d,performance_std_30d,performance_trend_30d,attendance_rate_30d,positive_behavior_count_30d,negative_behavior_count_30d,idea_count_30d,feat_count_30d,teamwork_count_30d,sacrifice_count_30d,lapse_count_30d,slip_count_30d,disruption_count_30d,sabotage_count_30d,n_efficacy_obs,split
98000001_2021-01-30,98000001,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8761904761904761,0.23854719010032777,0.047816385081287216,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21,train
98000002_2021-01-30,98000002,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5799999999999998,0.3318211312708923,0.25154031609965155,0.9523809523809523,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,train
98000003_2021-01-30,98000003,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7714285714285714,0.17647338933351153,0.2521836149187122,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21,train
98000004_2021-01-30,98000004,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5526315789473685,0.2220320823980964,0.07800744109135968,0.9047619047619048,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,train
98000005_2021-01-30,98000005,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7222222222222222,0.49056456738256365,0.25512096252533517,0.8571428571428571,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18,train
98000006_2021-01-30,98000006,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.86,0.25422741580594416,-0.024200396263798597,0.9523809523809523,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,train
98000007_2021-01-30,98000007,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.47142857142857153,0.22614786566062733,0.08147912017851443,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000008_2021-01-30,98000008,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.419047619047619,0.30268638492513605,-0.2852725533949636,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000009_2021-01-30,98000009,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4428571428571428,0.3370036032024414,0.06053554351291025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000010_2021-01-30,98000010,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5761904761904763,0.1813966976126134,-0.11083838061842524,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21,train
98000011_2021-01-30,98000011,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6666666666666666,0.3055050463303894,0.13723302518329572,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000012_2021-01-30,98000012,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5238095238095237,0.3404478842712375,0.245393688237169,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21,train
98000013_2021-01-30,98000013,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9285714285714286,0.41610438250859266,0.12939113802996485,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,train
98000015_2021-01-30,98000015,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.65,0.6386663736585051,-0.42637392890326564,0.9523809523809523,4.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,20,train
98000017_2021-01-30,98000017,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.65,0.29468984587725094,-0.08119832412591295,0.9523809523809523,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20,train
98000018_2021-01-30,98000018,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.2285714285714289,0.4859453232029886,0.3924768887472106,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,21,train
98000019_2021-01-30,98000019,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.40476190476190477,0.2246690688016276,0.3358622888109659,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,21,train
98000021_2021-01-30,98000021,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4666666666666666,0.4509249752822894,0.19346509403889067,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,21,train
98000022_2021-01-30,98000022,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8300000000000001,0.3672085310326516,0.2876119553185064,0.9523809523809523,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20,train
98000023_2021-01-30,98000023,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6714285714285714,0.23904572186687872,-0.2780044628626079,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21,train
98000024_2021-01-30,98000024,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9952380952380954,0.3456532807253397,0.11399426203379004,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,21,train
98000025_2021-01-30,98000025,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6849999999999998,0.23457688673327062,0.06437506356147647,0.9523809523809523,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20,train
98000026_2021-01-30,98000026,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9649999999999999,0.6072153870874728,0.9013452914798203,0.9523809523809523,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,train
