window_id,sub_ID,anchor_date,obs_start,obs_end,target_start,target_end,future_actual_efficacy_mean_30d,n_target_efficacy_obs,audit_sub_age,audit_sub_sex,audit_sup_ID,split
98000001_2021-01-30,98000001,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.878857142857143,21,40,F,98000216.0,train
98000002_2021-01-30,98000002,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6255714285714286,21,61,F,98000216.0,train
98000003_2021-01-30,98000003,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7613333333333334,21,20,F,98000216.0,train
98000004_2021-01-30,98000004,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.48852380952380947,21,18,F,98000216.0,train
98000005_2021-01-30,98000005,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.47590000000000005,20,59,F,98000216.0,train
98000006_2021-01-30,98000006,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7758499999999999,20,28,F,98000216.0,train
98000007_2021-01-30,98000007,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.39452380952380955,21,50,M,98000216.0,train
98000008_2021-01-30,98000008,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.44466666666666665,21,62,M,98000216.0,train
98000009_2021-01-30,98000009,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5018095238095238,21,28,M,98000443.0,train
98000010_2021-01-30,98000010,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5677142857142856,21,29,M,98000443.0,train
98000011_2021-01-30,98000011,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6508095238095238,21,46,M,98000443.0,train
98000012_2021-01-30,98000012,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5429444444444445,18,53,F,98000443.0,train
98000013_2021-01-30,98000013,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8464285714285713,21,38,M,98000443.0,train
98000015_2021-01-30,98000015,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8340952380952382,21,62,M,98000443.0,train
98000017_2021-01-30,98000017,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.48823809523809525,21,31,F,98000351.0,train
98000018_2021-01-30,98000018,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.0484210526315791,19,62,M,98000351.0,train
98000019_2021-01-30,98000019,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.35584999999999994,20,25,F,98000351.0,train
98000021_2021-01-30,98000021,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4636666666666668,21,25,M,98000351.0,train
98000022_2021-01-30,98000022,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8511904761904762,21,47,F,98000351.0,train
98000023_2021-01-30,98000023,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.565047619047619,21,36,F,98000351.0,train
98000024_2021-01-30,98000024,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.041157894736842,19,45,F,98000351.0,train
98000025_2021-01-30,98000025,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5723157894736842,19,20,F,98000001.0,train
98000026_2021-01-30,98000026,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8562,20,34,M,98000001.0,train
98000028_2021-01-30,98000028,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8830476190476191,21,40,F,98000001.0,train
98000030_2021-01-30,98000030,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.0757619047619047,21,39,M,98000001.0,train
98000031_2021-01-30,98000031,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.59925,20,40,M,98000001.0,train
98000032_2021-01-30,98000032,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7524285714285716,21,28,M,98000001.0,train
98000033_2021-01-30,98000033,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8236111111111111,18,36,M,98000001.0,train
98000034_2021-01-30,98000034,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5327619047619048,21,33,M,98000001.0,train
98000035_2021-01-30,98000035,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.754,20,60,F,98000001.0,train
98000036_2021-01-30,98000036,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6668571428571429,21,24,M,98000001.0,train
98000037_2021-01-30,98000037,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.975047619047619,21,62,M,98000001.0,train
98000038_2021-01-30,98000038,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.44031578947368427,19,22,M,98000001.0,train
98000039_2021-01-30,98000039,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5784285714285714,21,62,M,98000001.0,train
98000040_2021-01-30,98000040,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4032,20,21,F,98000001.0,train
98000041_2021-01-30,98000041,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8912999999999999,20,40,F,98000001.0,train
98000042_2021-01-30,98000042,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.755,20,31,M,98000001.0,train
98000043_2021-01-30,98000043,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.77805,20,37,F,98000001.0,train
98000044_2021-01-30,98000044,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4860500000000001,20,35,F,98000001.0,train
98000045_2021-01-30,98000045,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.91755,20,57,M,98000002.0,train
98000046_2021-01-30,98000046,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.68025,20,38,M,98000002.0,train
98000047_2021-01-30,98000047,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6425714285714286,21,30,M,98000002.0,train
98000049_2021-01-30,98000049,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6367142857142857,21,50,F,98000002.0,train
98000050_2021-01-30,98000050,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7571999999999999,20,51,F,98000002.0,train
98000053_2021-01-30,98000053,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6912105263157895,19,47,M,98000002.0,train
98000055_2021-01-30,98000055,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6911,20,37,M,98000002.0,train
98000056_2021-01-30,98000056,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4069523809523809,21,34,F,98000002.0,train
98000058_2021-01-30,98000058,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.55115,20,26,F,98000002.0,train
98000059_2021-01-30,98000059,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.508047619047619,21,61,F,98000002.0,train
98000060_2021-01-30,98000060,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8255500000000001,20,46,F,98000002.0,train
98000062_2021-01-30,98000062,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.2692666666666668,15,56,F,98000002.0,train
98000064_2021-01-30,98000064,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8680952380952379,21,57,F,98000002.0,train
98000066_2021-01-30,98000066,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7448947368421053,19,30,M,98000003.0,train
98000067_2021-01-30,98000067,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8113809523809523,21,51,M,98000003.0,train
98000068_2021-01-30,98000068,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.70975,20,56,M,98000003.0,train
98000069_2021-01-30,98000069,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6920476190476191,21,23,F,98000003.0,train
98000070_2021-01-30,98000070,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.46021052631578957,19,34,M,98000003.0,train
98000071_2021-01-30,98000071,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5387000000000001,20,44,F,98000003.0,train
98000072_2021-01-30,98000072,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.66185,20,54,F,98000003.0,train
98000073_2021-01-30,98000073,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4628571428571428,21,59,F,98000003.0,train
98000074_2021-01-30,98000074,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.0972380952380956,21,19,M,98000003.0,train
98000075_2021-01-30,98000075,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4828571428571429,21,58,M,98000003.0,train
98000076_2021-01-30,98000076,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7728095238095237,21,37,M,98000003.0,train
98000078_2021-01-30,98000078,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6298571428571428,21,31,F,98000003.0,train
98000079_2021-01-30,98000079,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.648809523809524,21,59,M,98000003.0,train
98000082_2021-01-30,98000082,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7767142857142857,21,46,M,98000003.0,train
98000084_2021-01-30,98000084,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5431578947368422,19,24,F,98000003.0,train
98000087_2021-01-30,98000087,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6267894736842103,19,41,M,98000004.0,train
98000089_2021-01-30,98000089,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5806315789473684,19,22,F,98000004.0,train
98000090_2021-01-30,98000090,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7857619047619048,21,30,F,98000004.0,train
98000091_2021-01-30,98000091,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6241578947368422,19,30,F,98000004.0,train
98000092_2021-01-30,98000092,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4838571428571428,21,18,F,98000004.0,train
98000093_2021-01-30,98000093,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8496499999999999,20,20,M,98000004.0,train
98000094_2021-01-30,98000094,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7822857142857144,21,37,M,98000004.0,train
98000095_2021-01-30,98000095,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.68185,20,48,M,98000004.0,train
98000096_2021-01-30,98000096,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.47795,20,63,M,98000004.0,train
98000097_2021-01-30,98000097,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.4973157894736843,19,60,M,98000004.0,train
98000098_2021-01-30,98000098,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6693499999999999,20,46,M,98000004.0,train
98000099_2021-01-30,98000099,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.53065,20,22,F,98000004.0,train
98000100_2021-01-30,98000100,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7344285714285714,21,33,F,98000004.0,train
98000104_2021-01-30,98000104,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6966190476190477,21,37,M,98000004.0,train
98000106_2021-01-30,98000106,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6678095238095239,21,39,M,98000005.0,train
98000109_2021-01-30,98000109,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5386,20,34,F,98000005.0,train
98000110_2021-01-30,98000110,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.671952380952381,21,58,F,98000005.0,train
98000111_2021-01-30,98000111,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.3853809523809524,21,18,F,98000005.0,train
98000113_2021-01-30,98000113,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5959047619047619,21,29,F,98000005.0,train
98000114_2021-01-30,98000114,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.49939999999999996,20,22,M,98000005.0,train
98000115_2021-01-30,98000115,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.3095263157894734,19,58,F,98000005.0,train
98000116_2021-01-30,98000116,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7646,20,48,M,98000005.0,train
98000118_2021-01-30,98000118,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.30955,20,29,M,98000005.0,train
98000120_2021-01-30,98000120,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8329047619047617,21,64,F,98000005.0,train
98000122_2021-01-30,98000122,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5793809523809523,21,38,F,98000005.0,train
98000123_2021-01-30,98000123,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5812499999999999,20,52,M,98000005.0,train
98000124_2021-01-30,98000124,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.1885882352941177,17,58,M,98000005.0,train
98000125_2021-01-30,98000125,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.44830000000000003,20,20,M,98000006.0,train
98000127_2021-01-30,98000127,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6494761904761904,21,55,F,98000006.0,train
98000128_2021-01-30,98000128,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7724499999999999,20,50,M,98000006.0,train
98000130_2021-01-30,98000130,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6848095238095239,21,26,M,98000006.0,train
98000131_2021-01-30,98000131,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7592380952380953,21,57,M,98000006.0,train
98000133_2021-01-30,98000133,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7301428571428571,21,26,F,98000006.0,train
98000134_2021-01-30,98000134,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.5112380952380952,21,63,M,98000006.0,train
98000135_2021-01-30,98000135,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6028947368421054,19,32,F,98000006.0,train
98000136_2021-01-30,98000136,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,1.0944,20,47,M,98000006.0,train
98000137_2021-01-30,98000137,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7577,20,34,F,98000006.0,train
98000138_2021-01-30,98000138,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.8079000000000001,20,55,F,98000006.0,train
98000139_2021-01-30,98000139,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.42619999999999997,20,54,M,98000006.0,train
98000140_2021-01-30,98000140,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.45514285714285724,21,52,F,98000006.0,train
98000141_2021-01-30,98000141,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6783157894736842,19,36,F,98000006.0,train
98000143_2021-01-30,98000143,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.7294761904761904,21,60,M,98000006.0,train
98000144_2021-01-30,98000144,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.806,20,18,M,98000006.0,train
98000145_2021-01-30,98000145,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9487,20,46,M,98000007.0,train
98000146_2021-01-30,98000146,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6853809523809523,21,43,F,98000007.0,train
98000147_2021-01-30,98000147,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.98345,20,51,F,98000007.0,train
98000148_2021-01-30,98000148,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.37419047619047624,21,26,F,98000007.0,train
98000149_2021-01-30,98000149,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.9097619047619047,21,57,M,98000007.0,train
98000150_2021-01-30,98000150,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.6818,20,19,M,98000007.0,train
98000151_2021-01-30,98000151,2021-01-30,2021-01-01,2021-01-30,2021-01-31,2021-03-01,0.502,20,64,M,98000007.0,train
